 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1024.0 1024.0  0.0    0.0    8192.0   1983.0   88440.0    52281.3   23424.0 22907.4 3200.0 3057.4     86    0.312  290    23.651   23.963
1024.0 1024.0  0.0    0.0    8192.0   4451.5   88440.0    52281.3   23424.0 22907.4 3200.0 3057.4     86    0.312  290    23.651   23.963
1024.0 1024.0  0.0    0.0    8192.0   5479.0   88440.0    52281.3   23424.0 22907.4 3200.0 3057.4     86    0.312  291    23.651   23.963
1024.0 1024.0  0.0    0.0    8192.0   311.8    88440.0    52362.0   23680.0 22926.0 3200.0 3057.4     86    0.312  292    23.925   24.237
1024.0 1024.0  0.0    0.0    8192.0   1516.6   88440.0    52362.0   23680.0 22926.0 3200.0 3057.4     86    0.312  292    23.925   24.237
1024.0 1024.0  0.0    0.0    8192.0   3087.9   88440.0    52362.0   23680.0 22926.0 3200.0 3057.4     86    0.312  292    23.925   24.237
1024.0 1024.0  0.0    0.0    8192.0   4326.2   88440.0    52362.0   23680.0 22926.0 3200.0 3057.4     86    0.312  292    23.925   24.237
1024.0 1024.0  0.0   521.7   8192.0   7183.2   88440.0    52362.0   23680.0 22946.2 3200.0 3057.4     87    0.314  292    23.925   24.239
1024.0 1024.0  0.0    0.0    8192.0   1829.8   91336.0    54800.8   23680.0 22946.2 3200.0 3057.4     87    0.314  293    24.060   24.374
1024.0 1024.0  0.0    0.0    8192.0   3760.1   91336.0    54800.8   23680.0 22946.2 3200.0 3057.4     87    0.314  293    24.060   24.374
1024.0 1024.0  0.0    0.0    8192.0   5185.4   91336.0    54800.8   23680.0 22946.2 3200.0 3057.4     87    0.314  293    24.060   24.374
1024.0 1024.0  0.0    0.0    8192.0   954.4    92060.0    55234.2   23680.0 22966.7 3200.0 3057.4     87    0.314  294    24.236   24.550
1024.0 1024.0  0.0    0.0    8192.0   3923.5   92060.0    55234.2   23680.0 22966.7 3200.0 3057.4     87    0.314  294    24.236   24.550
1024.0 1024.0  0.0    0.0    8192.0   1234.8   93156.0    55891.4   23680.0 22969.0 3200.0 3057.4     87    0.314  295    24.386   24.700
1024.0 1024.0  0.0    0.0    8192.0   3476.5   93156.0    55891.4   23680.0 22969.0 3200.0 3057.4     87    0.314  295    24.386   24.700
1024.0 1024.0  0.0    0.0    8192.0   5705.5   93156.0    55891.4   23680.0 22969.0 3200.0 3057.4     87    0.314  295    24.386   24.700
1024.0 1024.0  0.0    0.0    8192.0   1273.8   93156.0    53403.4   23680.0 22984.1 3200.0 3057.4     87    0.314  296    24.514   24.828
1024.0 1024.0  0.0    0.0    8192.0   3293.2   93156.0    53403.4   23680.0 22984.1 3200.0 3057.4     87    0.314  296    24.514   24.828
1024.0 1024.0  0.0    0.0    8192.0   1843.4   93156.0    53445.8   23680.0 23010.5 3200.0 3057.4     87    0.314  297    24.663   24.977
1024.0 1024.0  0.0    0.0    8192.0   3561.1   93156.0    53445.8   23680.0 23010.5 3200.0 3057.4     87    0.314  297    24.663   24.977
1024.0 1024.0 530.7   0.0    8192.0   1217.9   93156.0    53445.8   24064.0 23221.1 3328.0 3082.7     88    0.320  297    24.663   24.983
1024.0 1024.0 530.7   0.0    8192.0   4115.8   93156.0    53445.8   24064.0 23221.1 3328.0 3082.7     88    0.320  297    24.663   24.983
1024.0 1024.0 530.7   0.0    8192.0   6759.2   93156.0    53445.8   24064.0 23221.1 3328.0 3082.7     88    0.320  297    24.663   24.983
1024.0 1024.0  0.0   307.7   8192.0   1411.7   93156.0    53908.9   24064.0 23341.2 3328.0 3100.4     89    0.323  297    24.663   24.986
1024.0 1024.0  0.0   307.7   8192.0   3810.3   93156.0    53908.9   24064.0 23341.2 3328.0 3100.4     89    0.323  297    24.663   24.986
1024.0 1024.0  0.0   307.7   8192.0   5339.4   93156.0    53908.9   24064.0 23341.2 3328.0 3100.4     89    0.323  297    24.663   24.986
1024.0 1024.0  0.0    0.0    8192.0    0.0     93156.0    54346.4   24064.0 23362.2 3328.0 3103.1     89    0.323  299    24.941   25.264
1024.0 1024.0  0.0    0.0    8192.0   445.3    93156.0    52357.8   24064.0 23362.2 3328.0 3103.1     89    0.323  300    25.093   25.415
1024.0 1024.0  0.0    0.0    8192.0   1109.9   93156.0    52544.7   24064.0 23367.9 3328.0 3104.2     89    0.323  301    25.216   25.539
1024.0 1024.0  0.0    0.0    8192.0   3511.6   93156.0    52544.7   24064.0 23367.9 3328.0 3104.2     89    0.323  301    25.216   25.539
1024.0 1024.0  0.0    0.0    8192.0   5354.4   93156.0    52544.7   24064.0 23367.9 3328.0 3104.2     89    0.323  301    25.216   25.539
1024.0 1024.0  0.0    0.0    8192.0   2811.9   93156.0    52606.2   24064.0 23369.8 3328.0 3104.2     89    0.323  303    25.352   25.675
1024.0 1024.0  0.0    0.0    8192.0   2271.3   93156.0    53384.0   24064.0 23372.0 3328.0 3104.2     89    0.323  303    25.491   25.814
1024.0 1024.0  0.0    0.0    8192.0   4155.5   93156.0    53384.0   24064.0 23372.0 3328.0 3104.2     89    0.323  303    25.491   25.814
1024.0 1024.0  0.0    0.0    8192.0   6593.5   93156.0    53384.0   24064.0 23372.0 3328.0 3104.2     89    0.323  303    25.491   25.814
1024.0 1024.0 216.0   0.0    8192.0   380.1    93156.0    53384.0   24064.0 23372.0 3328.0 3104.2     90    0.326  303    25.491   25.817
1024.0 1024.0  0.0    0.0    8192.0   2007.4   93156.0    52864.9   24064.0 23372.0 3328.0 3104.2     90    0.326  304    25.648   25.974
1024.0 1024.0  0.0    0.0    8192.0   1194.9   93156.0    52899.2   24064.0 23372.5 3328.0 3104.2     90    0.326  305    25.783   26.109
1024.0 1024.0  0.0    0.0    8192.0   1026.4   93156.0    53106.1   24064.0 23373.5 3328.0 3104.2     90    0.326  307    26.081   26.407
1024.0 1024.0  0.0    0.0    8192.0   3256.0   93156.0    53106.1   24064.0 23373.5 3328.0 3104.2     90    0.326  307    26.081   26.407
1024.0 1024.0  0.0    0.0    8192.0   1939.5   93156.0    53099.4   24064.0 23376.1 3328.0 3104.8     90    0.326  308    26.245   26.570
1024.0 1024.0  0.0    0.0    8192.0   1978.6   93156.0    53708.2   24064.0 23376.6 3328.0 3104.8     90    0.326  309    26.375   26.700
1024.0 1024.0  0.0    0.0    8192.0   3560.6   93156.0    53708.2   24064.0 23376.6 3328.0 3104.8     90    0.326  309    26.375   26.700
1024.0 1024.0  0.0    0.0    8192.0   5428.4   93156.0    53708.2   24064.0 23376.6 3328.0 3104.8     90    0.326  309    26.375   26.700
1024.0 1024.0  0.0    0.0    8192.0   7274.1   93156.0    53708.2   24064.0 23376.6 3328.0 3104.8     90    0.326  309    26.375   26.700
1024.0 1024.0  0.0   363.5   8192.0   1173.6   93156.0    53708.2   24064.0 23382.1 3328.0 3105.9     91    0.328  309    26.375   26.703
1024.0 1024.0  0.0    0.0    8192.0   654.8    93156.0    54082.7   24064.0 23371.3 3328.0 3104.2     91    0.328  310    26.503   26.831
1024.0 1024.0  0.0    0.0    8192.0   2784.8   93156.0    54082.7   24064.0 23371.3 3328.0 3104.2     91    0.328  310    26.503   26.831
1024.0 1024.0  0.0    0.0    8192.0   5112.9   93156.0    54082.7   24064.0 23371.3 3328.0 3104.2     91    0.328  310    26.503   26.831
1024.0 1024.0  0.0    0.0    8192.0    0.0     93156.0    54304.4   24064.0 23379.5 3328.0 3105.3     91    0.328  311    26.639   26.967
1024.0 1024.0  0.0    0.0    8192.0   342.8    93156.0    53994.9   24064.0 23379.5 3328.0 3105.3     91    0.328  312    26.777   27.105
1024.0 1024.0  0.0    0.0    8192.0   1979.1   93156.0    53994.9   24064.0 23379.5 3328.0 3105.3     91    0.328  312    26.777   27.105
1024.0 1024.0  0.0    0.0    8192.0   3457.8   93156.0    53994.9   24064.0 23379.5 3328.0 3105.3     91    0.328  312    26.777   27.105
1024.0 1024.0 594.7   0.0    8192.0   6428.8   93156.0    53994.9   24064.0 23386.4 3328.0 3106.5     92    0.330  312    26.777   27.107
1024.0 1024.0 594.7   0.0    8192.0   7945.7   93156.0    53994.9   24064.0 23386.4 3328.0 3106.5     92    0.330  312    26.777   27.107
1024.0 1024.0  0.0   1024.0  8192.0   1107.8   93156.0    55592.4   24064.0 23386.7 3328.0 3106.5     93    0.337  312    26.777   27.114
1024.0 1024.0  0.0    0.0    8192.0   2282.4   94380.0    56627.0   24064.0 23387.8 3328.0 3106.5     93    0.337  313    26.927   27.264
1024.0 1024.0  0.0    0.0    8192.0   4702.7   94380.0    56627.0   24064.0 23387.8 3328.0 3106.5     93    0.337  313    26.927   27.264
1024.0 1024.0  0.0    0.0    8192.0   6668.4   94380.0    56627.0   24064.0 23387.8 3328.0 3106.5     93    0.337  313    26.927   27.264
1024.0 1024.0  0.0    0.0    8192.0   2517.8   94792.0    56873.9   24064.0 23402.3 3328.0 3108.1     93    0.337  315    27.073   27.410
1024.0 1024.0  0.0    0.0    8192.0   1980.0   95824.0    57493.0   24064.0 23402.3 3328.0 3108.1     93    0.337  315    27.212   27.548
1024.0 1024.0  0.0    0.0    8192.0   4009.2   95824.0    57493.0   24064.0 23402.3 3328.0 3108.1     93    0.337  315    27.212   27.548
1024.0 1024.0  0.0    0.0    8192.0   5559.3   95824.0    57493.0   24064.0 23402.3 3328.0 3108.1     93    0.337  315    27.212   27.548
1024.0 1024.0  0.0    0.0    8192.0   7082.0   95824.0    57493.0   24064.0 23402.3 3328.0 3108.1     93    0.337  315    27.212   27.548
1024.0 1024.0  0.0    0.0    8192.0   1939.3   95824.0    55065.4   24064.0 23419.2 3328.0 3109.8     93    0.337  316    27.369   27.705
1024.0 1024.0  0.0    0.0    8192.0   4107.5   95824.0    55065.4   24064.0 23419.2 3328.0 3109.8     93    0.337  316    27.369   27.705
1024.0 1024.0  0.0    0.0    8192.0   5584.2   95824.0    55065.4   24064.0 23419.2 3328.0 3109.8     93    0.337  316    27.369   27.705
1024.0 1024.0  0.0    0.0    8192.0   6923.0   95824.0    55065.4   24064.0 23419.2 3328.0 3109.8     93    0.337  317    27.369   27.705
1024.0 1024.0  0.0    0.0    8192.0   4380.8   95824.0    55294.8   24064.0 23419.6 3328.0 3109.8     93    0.337  317    27.513   27.850
1024.0 1024.0  0.0    0.0    8192.0   1256.6   95824.0    56094.7   24320.0 23433.9 3328.0 3112.0     93    0.337  318    27.657   27.994
1024.0 1024.0  0.0    0.0    8192.0   3353.8   95824.0    56094.7   24320.0 23433.9 3328.0 3112.0     93    0.337  318    27.657   27.994
1024.0 1024.0  0.0    0.0    8192.0   5814.7   95824.0    56094.7   24320.0 23433.9 3328.0 3112.0     93    0.337  318    27.657   27.994
1024.0 1024.0  0.0    0.0    8192.0   885.9    95824.0    56328.1   24320.0 23447.3 3328.0 3114.8     93    0.337  319    27.841   28.178
1024.0 1024.0  0.0    0.0    8192.0   3181.1   95824.0    56328.1   24320.0 23447.3 3328.0 3114.8     93    0.337  319    27.841   28.178
